[9907210279/cvxfq, 9757486692/fzuhb, 9766833105/kvdzd, 9522935316/omefz] initial
[9766833105/kvdzd, 9757486692/fzuhb, 9745870506/gvkwl, 9522935316/omefz] i = 99
[9757486692/fzuhb, 9685906552/czmxi, 9745870506/gvkwl, 9522935316/omefz] i = 98
[9745870506/gvkwl, 9685906552/czmxi, 8834710940/gcttu, 9522935316/omefz] i = 97
[9685906552/czmxi, 9601052864/rzccd, 8834710940/gcttu, 9522935316/omefz] i = 96
[9601052864/rzccd, 9522935316/omefz, 8834710940/gcttu, 9312242615/boosa] i = 95
[9522935316/omefz, 9312242615/boosa, 8834710940/gcttu, 9040200196/dlicf] i = 94
[9312242615/boosa, 9073450848/dohha, 8834710940/gcttu, 9040200196/dlicf] i = 93
[9073450848/dohha, 9040200196/dlicf, 8834710940/gcttu, 8637700494/ntufd] i = 92
[9040200196/dlicf, 8654739389/iaufk, 8834710940/gcttu, 8637700494/ntufd] i = 91
[8834710940/gcttu, 8654739389/iaufk, 8562099904/omhhz, 8637700494/ntufd] i = 90
[8654739389/iaufk, 8637700494/ntufd, 8562099904/omhhz, 8403030806/lpwwa] i = 89
[8637700494/ntufd, 8543955334/ttbmr, 8562099904/omhhz, 8403030806/lpwwa] i = 88
[8562099904/omhhz, 8543955334/ttbmr, 8425729982/gbxil, 8403030806/lpwwa] i = 87
[8543955334/ttbmr, 8403030806/lpwwa, 8425729982/gbxil, 8169850156/xuuqe] i = 86
[8425729982/gbxil, 8403030806/lpwwa, 8294869128/odlre, 8169850156/xuuqe] i = 85
[8403030806/lpwwa, 8329841603/qcscd, 8294869128/odlre, 8169850156/xuuqe] i = 84
[8329841603/qcscd, 8250617004/ktkte, 8294869128/odlre, 8169850156/xuuqe] i = 83
[8294869128/odlre, 8250617004/ktkte, 8224048537/uaqcn, 8169850156/xuuqe] i = 82
[8250617004/ktkte, 8169850156/xuuqe, 8224048537/uaqcn, 8082041861/hlrjf] i = 81
[8224048537/uaqcn, 8169850156/xuuqe, 8145260752/sjrvr, 8082041861/hlrjf] i = 80
[8169850156/xuuqe, 8082041861/hlrjf, 8145260752/sjrvr, 7713869158/hymxz] i = 79
[8145260752/sjrvr, 8082041861/hlrjf, 7855311308/fewbe, 7713869158/hymxz] i = 78
[8082041861/hlrjf, 7713869158/hymxz, 7855311308/fewbe, 7698701517/hgqbg] i = 77
[7855311308/fewbe, 7713869158/hymxz, 7824723794/nmied, 7698701517/hgqbg] i = 76
[7824723794/nmied, 7713869158/hymxz, 7469422597/ktfkj, 7698701517/hgqbg] i = 75
[7713869158/hymxz, 7705911091/jljvt, 7469422597/ktfkj, 7698701517/hgqbg] i = 74
[7705911091/jljvt, 7698701517/hgqbg, 7469422597/ktfkj, 7680301085/twdkr] i = 73
[7698701517/hgqbg, 7680301085/twdkr, 7469422597/ktfkj, 7102720118/hfcln] i = 72
[7680301085/twdkr, 7664263595/tpgbk, 7469422597/ktfkj, 7102720118/hfcln] i = 71
[7664263595/tpgbk, 7411948737/znvkh, 7469422597/ktfkj, 7102720118/hfcln] i = 70
[7469422597/ktfkj, 7411948737/znvkh, 7183236262/jsmnc, 7102720118/hfcln] i = 69
[7411948737/znvkh, 7191679847/wgzgk, 7183236262/jsmnc, 7102720118/hfcln] i = 68
[7191679847/wgzgk, 7102720118/hfcln, 7183236262/jsmnc, 6941835376/rvnhc] i = 67
[7183236262/jsmnc, 7102720118/hfcln, 6918084835/lntbl, 6941835376/rvnhc] i = 66
[7102720118/hfcln, 6968511118/gpstg, 6918084835/lntbl, 6941835376/rvnhc] i = 65
[6968511118/gpstg, 6941835376/rvnhc, 6918084835/lntbl, 6548401297/glcei] i = 64
[6941835376/rvnhc, 6548401297/glcei, 6918084835/lntbl, 6417426832/qhjxk] i = 63
[6918084835/lntbl, 6548401297/glcei, 6903206425/pdsnr, 6417426832/qhjxk] i = 62
[6903206425/pdsnr, 6548401297/glcei, 5855276584/kiaty, 6417426832/qhjxk] i = 61
[6548401297/glcei, 6469855738/zkkbd, 5855276584/kiaty, 6417426832/qhjxk] i = 60
[6469855738/zkkbd, 6417426832/qhjxk, 5855276584/kiaty, 6000912825/pbzif] i = 59
[6417426832/qhjxk, 6282485297/mzlmx, 5855276584/kiaty, 6000912825/pbzif] i = 58
[6282485297/mzlmx, 6012772689/aqbln, 5855276584/kiaty, 6000912825/pbzif] i = 57
[6012772689/aqbln, 6000912825/pbzif, 5855276584/kiaty, 5777432600/jmadj] i = 56
[6000912825/pbzif, 5777432600/jmadj, 5855276584/kiaty, 5748275762/mgjtw] i = 55
[5855276584/kiaty, 5777432600/jmadj, 5787949209/dckbm, 5748275762/mgjtw] i = 54
[5787949209/dckbm, 5777432600/jmadj, 5625651928/bcnos, 5748275762/mgjtw] i = 53
[5777432600/jmadj, 5748275762/mgjtw, 5625651928/bcnos, 5445472264/wgpnc] i = 52
[5748275762/mgjtw, 5445472264/wgpnc, 5625651928/bcnos, 4857163106/wemfa] i = 51
[5625651928/bcnos, 5445472264/wgpnc, 5586950874/pdbal, 4857163106/wemfa] i = 50
[5586950874/pdbal, 5445472264/wgpnc, 5506079192/sqxqg, 4857163106/wemfa] i = 49
[5506079192/sqxqg, 5445472264/wgpnc, 5406530988/qmron, 4857163106/wemfa] i = 48
[5445472264/wgpnc, 5278790660/pbddg, 5406530988/qmron, 4857163106/wemfa] i = 47
[5406530988/qmron, 5278790660/pbddg, 4853027131/tprju, 4857163106/wemfa] i = 46
[5278790660/pbddg, 4857163106/wemfa, 4853027131/tprju, 4635003055/lqgtk] i = 45
[4857163106/wemfa, 4635003055/lqgtk, 4853027131/tprju, 4562279217/sdbjy] i = 44
[4853027131/tprju, 4635003055/lqgtk, 4662353908/njeyk, 4562279217/sdbjy] i = 43
[4662353908/njeyk, 4635003055/lqgtk, 4262235761/hhcob, 4562279217/sdbjy] i = 42
[4635003055/lqgtk, 4602214411/fkkrv, 4262235761/hhcob, 4562279217/sdbjy] i = 41
[4602214411/fkkrv, 4562279217/sdbjy, 4262235761/hhcob, 4387501828/xovdz] i = 40
[4562279217/sdbjy, 4387501828/xovdz, 4262235761/hhcob, 4141464883/otziz] i = 39
[4387501828/xovdz, 4141464883/otziz, 4262235761/hhcob, 3960902626/ofiyv] i = 38
[4262235761/hhcob, 4141464883/otziz, 4132097685/rlkxv, 3960902626/ofiyv] i = 37
[4141464883/otziz, 3960902626/ofiyv, 4132097685/rlkxv, 3681790276/lzvfa] i = 36
[4132097685/rlkxv, 3960902626/ofiyv, 4051039653/oxlwx, 3681790276/lzvfa] i = 35
[4051039653/oxlwx, 3960902626/ofiyv, 2867189831/nvton, 3681790276/lzvfa] i = 34
