[9685906552/czmxi, 9745870506/gvkwl, 8425729982/gbxil, 9040200196/dlicf, 9312242615/boosa] initial
[9685906552/czmxi, 8834710940/gcttu, 8425729982/gbxil, 9040200196/dlicf, 9312242615/boosa] i = 99
[9601052864/rzccd, 8834710940/gcttu, 8425729982/gbxil, 9040200196/dlicf, 9312242615/boosa] i = 98
[9601052864/rzccd, 8562099904/omhhz, 8425729982/gbxil, 9040200196/dlicf, 9312242615/boosa] i = 97
[9073450848/dohha, 8562099904/omhhz, 8425729982/gbxil, 9040200196/dlicf, 9312242615/boosa] i = 96
[9073450848/dohha, 8562099904/omhhz, 8425729982/gbxil, 9040200196/dlicf, 8637700494/ntufd] i = 95
[9073450848/dohha, 8562099904/omhhz, 8425729982/gbxil, 8403030806/lpwwa, 8637700494/ntufd] i = 94
[8654739389/iaufk, 8562099904/omhhz, 8425729982/gbxil, 8403030806/lpwwa, 8637700494/ntufd] i = 93
[8654739389/iaufk, 8562099904/omhhz, 8425729982/gbxil, 8403030806/lpwwa, 8169850156/xuuqe] i = 92
[8543955334/ttbmr, 8562099904/omhhz, 8425729982/gbxil, 8403030806/lpwwa, 8169850156/xuuqe] i = 91
[8543955334/ttbmr, 8294869128/odlre, 8425729982/gbxil, 8403030806/lpwwa, 8169850156/xuuqe] i = 90
[8543955334/ttbmr, 8294869128/odlre, 8425729982/gbxil, 8082041861/hlrjf, 8169850156/xuuqe] i = 89
[8329841603/qcscd, 8294869128/odlre, 8425729982/gbxil, 8082041861/hlrjf, 8169850156/xuuqe] i = 88
[8329841603/qcscd, 8294869128/odlre, 8145260752/sjrvr, 8082041861/hlrjf, 8169850156/xuuqe] i = 87
[8329841603/qcscd, 8294869128/odlre, 8145260752/sjrvr, 8082041861/hlrjf, 7713869158/hymxz] i = 86
[8329841603/qcscd, 8224048537/uaqcn, 8145260752/sjrvr, 8082041861/hlrjf, 7713869158/hymxz] i = 85
[8250617004/ktkte, 8224048537/uaqcn, 8145260752/sjrvr, 8082041861/hlrjf, 7713869158/hymxz] i = 84
[7705911091/jljvt, 8224048537/uaqcn, 8145260752/sjrvr, 8082041861/hlrjf, 7713869158/hymxz] i = 83
[7705911091/jljvt, 7855311308/fewbe, 8145260752/sjrvr, 8082041861/hlrjf, 7713869158/hymxz] i = 82
[7705911091/jljvt, 7855311308/fewbe, 8145260752/sjrvr, 7102720118/hfcln, 7713869158/hymxz] i = 81
[7705911091/jljvt, 7855311308/fewbe, 7183236262/jsmnc, 7102720118/hfcln, 7713869158/hymxz] i = 80
[7705911091/jljvt, 7855311308/fewbe, 7183236262/jsmnc, 7102720118/hfcln, 7698701517/hgqbg] i = 79
[7705911091/jljvt, 7824723794/nmied, 7183236262/jsmnc, 7102720118/hfcln, 7698701517/hgqbg] i = 78
[7705911091/jljvt, 7824723794/nmied, 7183236262/jsmnc, 7102720118/hfcln, 7680301085/twdkr] i = 77
[7705911091/jljvt, 7469422597/ktfkj, 7183236262/jsmnc, 7102720118/hfcln, 7680301085/twdkr] i = 76
[7705911091/jljvt, 6918084835/lntbl, 7183236262/jsmnc, 7102720118/hfcln, 7680301085/twdkr] i = 75
[7664263595/tpgbk, 6918084835/lntbl, 7183236262/jsmnc, 7102720118/hfcln, 7680301085/twdkr] i = 74
[7664263595/tpgbk, 6918084835/lntbl, 7183236262/jsmnc, 7102720118/hfcln, 6000912825/pbzif] i = 73
